customer_id,total_orders,avg_order_value,avg_delivery_time,avg_rating,discount_rate,recency_days,order_frequency,value_per_minute,rating_discount_interaction,cluster_id,churn,churn_probability,risk_level,avg_sentiment,neg_review_ratio,channel,lat,lng,region
10916,13,45.35384615384616,51.53846153846154,3.353846153846154,0.2307692307692307,1,6.5,0.8632503660322108,0.7739644970414202,2,0,0.55034,Medium,3.333333333333333,0.3333333333333333,Email,18.861663446573512,83.05337176895033,Europe
10523,8,37.94125,48.625,2.9,0.5,1,4.0,0.7645591939546599,1.45,2,0,0.57645273,Medium,3.333333333333333,0.3333333333333333,Chat,35.57071488588757,81.8962744512622,India
11095,8,33.655,45.0,3.25,0.25,1,4.0,0.7316304347826087,0.8125,2,0,0.59875757,Medium,3.0,0.0,Email,29.227824312530746,68.74361990838663,Middle East
11106,5,41.08,56.0,3.0200000000000005,0.2,1,2.5,0.7207017543859648,0.6040000000000001,2,0,0.54713804,Medium,3.0,0.0,Social,25.361096041714063,77.89618700115854,Europe
10048,12,31.705,41.75,3.7083333333333335,0.25,1,6.0,0.7416374269005848,0.9270833333333334,2,0,0.59875757,Medium,1.0,1.0,Social,12.52454057283066,79.02567294478986,USA
10620,8,36.28875,41.125,3.4125,0.625,1,4.0,0.8614540059347181,2.1328125,2,0,0.5461804,Medium,5.0,0.0,Email,12.523841089749876,79.56586064601011,Europe
10874,5,44.73,54.6,3.12,0.4,1,2.5,0.8044964028776979,1.2480000000000002,2,0,0.5825662,Medium,5.0,0.0,Chat,9.684424752877785,84.82499870759264,Europe
11258,8,42.27875,50.375,3.45,0.125,1,4.0,0.8229440389294403,0.43125,2,0,0.57194525,Medium,3.0,0.0,Social,33.11910822747312,83.47447385507948,USA
10674,8,42.3175,39.5,3.6375,0.25,1,4.0,1.0448765432098766,0.909375,2,0,0.59092706,Medium,5.0,0.0,Chat,25.432335340553056,85.6292476910099,Asia
10332,8,40.565,35.125,3.6375,0.625,1,4.0,1.1229065743944635,2.2734375,2,0,0.5461804,Medium,3.0,0.0,Social,28.53410475608532,90.18161458472173,Asia
11077,8,42.69625,37.5,3.625,0.25,1,4.0,1.1089935064935064,0.90625,2,0,0.59860563,Medium,5.0,0.0,Chat,8.59695033457827,91.57658642276671,India
10380,14,39.25428571428571,50.71428571428572,3.521428571428572,0.4285714285714285,1,7.0,0.7590607734806628,1.5091836734693875,2,0,0.55034,Medium,3.0,0.5,Email,36.12738571269784,88.82556921056835,India
10930,6,39.935,36.333333333333336,3.933333333333333,0.1666666666666666,1,3.0,1.0696875,0.6555555555555554,2,0,0.5452671,Medium,5.0,0.0,Email,32.140836583212234,95.7101871826931,Asia
10681,9,46.93333333333334,39.0,3.488888888888889,0.4444444444444444,1,4.5,1.1733333333333331,1.5506172839506172,2,0,0.5461804,Medium,3.5,0.25,Email,14.157834209670009,68.52874489761449,Middle East
10692,7,52.68571428571429,46.57142857142857,3.2142857142857144,0.2857142857142857,1,3.5,1.1075075075075076,0.9183673469387756,2,0,0.59778607,Medium,2.6666666666666665,0.3333333333333333,Chat,13.272924049005919,73.67756158482284,Europe
10924,11,37.20545454545454,37.27272727272727,2.7545454545454544,0.3636363636363636,1,5.5,0.9721140142517816,1.0016528925619834,2,0,0.57645273,Medium,3.0,0.0,Social,13.31873078574958,68.21932337436613,Middle East
11041,6,34.00333333333333,56.833333333333336,3.95,0.3333333333333333,1,3.0,0.5879538904899134,1.3166666666666664,2,0,0.5911615,Medium,3.0,0.0,Email,16.823025045826594,86.77676671048349,Europe
