customer_id,total_orders,avg_order_value,avg_delivery_time,avg_rating,discount_rate,recency_days,order_frequency,value_per_minute,rating_discount_interaction
10000,13,38.32076923076923,33.53846153846154,3.553846153846154,0.23076923076923078,10,1.1818181818181819,1.109510022271715,0.8201183431952663
10001,6,33.38,59.166666666666664,3.9,0.5,41,0.14285714285714285,0.5547922437673131,1.95
10002,6,43.171666666666674,41.166666666666664,3.2000000000000006,0.3333333333333333,148,0.040268456375838924,1.0238339920948618,1.0666666666666669
10003,5,28.32,45.8,2.96,0.6,33,0.14705882352941177,0.6051282051282052,1.776
10004,5,53.736000000000004,37.0,4.26,0.4,140,0.03546099290780142,1.4141052631578948,1.704
10005,6,40.64333333333334,48.166666666666664,2.85,0.5,36,0.16216216216216217,0.8266440677966103,1.425
10006,8,36.214999999999996,37.125,3.4000000000000004,0.375,58,0.13559322033898305,0.9499016393442622,1.2750000000000001
10007,6,48.781666666666666,47.0,3.5666666666666664,0.6666666666666666,13,0.42857142857142855,1.0162847222222222,2.3777777777777773
10008,6,41.795,37.5,3.4166666666666665,0.16666666666666666,34,0.17142857142857143,1.0855844155844157,0.5694444444444444
10009,8,42.451249999999995,43.375,3.5875,0.375,31,0.25,0.9566478873239436,1.3453125
10010,8,40.4975,44.0,3.1625,0.125,62,0.12698412698412698,0.8999444444444445,0.3953125
10011,13,47.847692307692306,39.92307692307692,3.1538461538461537,0.3076923076923077,18,0.6842105263157895,1.1692105263157895,0.970414201183432
10012,9,51.986666666666665,49.44444444444444,3.3333333333333335,0.3333333333333333,3,2.25,1.0305726872246697,1.1111111111111112
10013,8,46.05625,45.25,3.4375,0.125,29,0.26666666666666666,0.9958108108108108,0.4296875
10014,5,25.724,43.6,3.2,0.4,152,0.032679738562091505,0.5767713004484305,1.2800000000000002
10015,8,30.013749999999998,48.125,3.625,0.25,27,0.2857142857142857,0.6109669211195928,0.90625
10016,10,34.628,45.3,3.75,0.3,63,0.15625,0.7479049676025918,1.125
10017,5,58.762,39.2,3.6399999999999997,0.6,14,0.3333333333333333,1.4617412935323382,2.1839999999999997
10018,17,41.10941176470588,44.411764705882355,3.1,0.17647058823529413,9,1.7,0.9052590673575129,0.5470588235294118
